Day,AM Time,AM Height,PM Time,PM Height
1,0246,3.6,1517,3.7
2,0353,3.4,1622,3.5
3,0459,3.4,1727,3.5
4,0600,3.6,1827,3.7
5,0653,3.9,1915,3.9
6,0736,4.2,1956,4.1
7,0813,4.4,2032,4.3
8,0848,4.6,2105,4.4
9,0920,4.7,2135,4.4
10,0950,4.7,2205,4.4
11,1021,4.7,2238,4.4
12,1057,4.6,2312,4.2
13,1134,4.4,2350,4.1
14,,,1213,4.2
15,0033,3.9,1259,4.0
16,0122,3.7,1355,3.7
17,0226,3.5,1507,3.5
18,0347,3.4,1626,3.5
19,0505,3.6,1741,3.8
20,0614,4.0,1847,4.2
21,0714,4.6,1944,4.7
22,0805,5.1,2033,5.1
23,0853,5.4,2119,5.3
24,0938,5.6,2201,5.4
25,1020,5.7,2245,5.2
26,1106,5.5,2330,4.9
27,1150,5.1,,
28,0013,4.5,1234,4.6
29,0056,4.1,1320,4.0
30,0146,3.6,1414,3.5
31,0250,3.2,1527,3.1
